CHR,featureChunkFile
1,genelist_sorted.chr1.chunk0000
1,genelist_sorted.chr1.chunk0001
1,genelist_sorted.chr1.chunk0002
1,genelist_sorted.chr1.chunk0003
1,genelist_sorted.chr1.chunk0004
1,genelist_sorted.chr1.chunk0005
1,genelist_sorted.chr1.chunk0006
1,genelist_sorted.chr1.chunk0007
1,genelist_sorted.chr1.chunk0008
1,genelist_sorted.chr1.chunk0009
1,genelist_sorted.chr1.chunk0010
1,genelist_sorted.chr1.chunk0011
1,genelist_sorted.chr1.chunk0012
1,genelist_sorted.chr1.chunk0013
1,genelist_sorted.chr1.chunk0014
1,genelist_sorted.chr1.chunk0015
1,genelist_sorted.chr1.chunk0016
1,genelist_sorted.chr1.chunk0017
1,genelist_sorted.chr1.chunk0018
1,genelist_sorted.chr1.chunk0019
1,genelist_sorted.chr1.chunk0020
1,genelist_sorted.chr1.chunk0021
1,genelist_sorted.chr1.chunk0022
1,genelist_sorted.chr1.chunk0023
1,genelist_sorted.chr1.chunk0024
1,genelist_sorted.chr1.chunk0025
1,genelist_sorted.chr1.chunk0026
1,genelist_sorted.chr1.chunk0027
1,genelist_sorted.chr1.chunk0028
1,genelist_sorted.chr1.chunk0029
1,genelist_sorted.chr1.chunk0030
1,genelist_sorted.chr1.chunk0031
1,genelist_sorted.chr1.chunk0032
1,genelist_sorted.chr1.chunk0033
1,genelist_sorted.chr1.chunk0034
1,genelist_sorted.chr1.chunk0035
1,genelist_sorted.chr1.chunk0036
1,genelist_sorted.chr1.chunk0037
1,genelist_sorted.chr1.chunk0038
1,genelist_sorted.chr1.chunk0039
1,genelist_sorted.chr1.chunk0040
1,genelist_sorted.chr1.chunk0041
1,genelist_sorted.chr1.chunk0042
1,genelist_sorted.chr1.chunk0043
1,genelist_sorted.chr1.chunk0044
1,genelist_sorted.chr1.chunk0045
1,genelist_sorted.chr1.chunk0046
1,genelist_sorted.chr1.chunk0047
1,genelist_sorted.chr1.chunk0048
1,genelist_sorted.chr1.chunk0049
1,genelist_sorted.chr1.chunk0050
1,genelist_sorted.chr1.chunk0051
1,genelist_sorted.chr1.chunk0052
1,genelist_sorted.chr1.chunk0053
1,genelist_sorted.chr1.chunk0054
1,genelist_sorted.chr1.chunk0055
1,genelist_sorted.chr1.chunk0056
1,genelist_sorted.chr1.chunk0057
1,genelist_sorted.chr1.chunk0058
1,genelist_sorted.chr1.chunk0059
1,genelist_sorted.chr1.chunk0060
1,genelist_sorted.chr1.chunk0061
1,genelist_sorted.chr1.chunk0062
1,genelist_sorted.chr1.chunk0063
1,genelist_sorted.chr1.chunk0064
1,genelist_sorted.chr1.chunk0065
1,genelist_sorted.chr1.chunk0066
1,genelist_sorted.chr1.chunk0067
1,genelist_sorted.chr1.chunk0068
1,genelist_sorted.chr1.chunk0069
1,genelist_sorted.chr1.chunk0070
1,genelist_sorted.chr1.chunk0071
1,genelist_sorted.chr1.chunk0072
1,genelist_sorted.chr1.chunk0073
1,genelist_sorted.chr1.chunk0074
1,genelist_sorted.chr1.chunk0075
1,genelist_sorted.chr1.chunk0076
1,genelist_sorted.chr1.chunk0077
1,genelist_sorted.chr1.chunk0078
1,genelist_sorted.chr1.chunk0079
1,genelist_sorted.chr1.chunk0080
1,genelist_sorted.chr1.chunk0081
1,genelist_sorted.chr1.chunk0082
1,genelist_sorted.chr1.chunk0083
1,genelist_sorted.chr1.chunk0084
1,genelist_sorted.chr1.chunk0085
1,genelist_sorted.chr1.chunk0086
1,genelist_sorted.chr1.chunk0087
1,genelist_sorted.chr1.chunk0088
1,genelist_sorted.chr1.chunk0089
1,genelist_sorted.chr1.chunk0090
1,genelist_sorted.chr1.chunk0091
1,genelist_sorted.chr1.chunk0092
1,genelist_sorted.chr1.chunk0093
1,genelist_sorted.chr1.chunk0094
1,genelist_sorted.chr1.chunk0095
1,genelist_sorted.chr1.chunk0096
1,genelist_sorted.chr1.chunk0097
1,genelist_sorted.chr1.chunk0098
1,genelist_sorted.chr1.chunk0099
1,genelist_sorted.chr1.chunk0100
1,genelist_sorted.chr1.chunk0101
1,genelist_sorted.chr1.chunk0102
1,genelist_sorted.chr1.chunk0103
1,genelist_sorted.chr1.chunk0104
1,genelist_sorted.chr1.chunk0105
1,genelist_sorted.chr1.chunk0106
1,genelist_sorted.chr1.chunk0107
