CHR,featureChunkFile
1,transcriptlist_sorted.chr1.chunk000.gz
1,transcriptlist_sorted.chr1.chunk001.gz
1,transcriptlist_sorted.chr1.chunk002.gz
1,transcriptlist_sorted.chr1.chunk003.gz
1,transcriptlist_sorted.chr1.chunk004.gz
1,transcriptlist_sorted.chr1.chunk005.gz
1,transcriptlist_sorted.chr1.chunk006.gz
1,transcriptlist_sorted.chr1.chunk007.gz
1,transcriptlist_sorted.chr1.chunk008.gz
1,transcriptlist_sorted.chr1.chunk009.gz
1,transcriptlist_sorted.chr1.chunk010.gz
1,transcriptlist_sorted.chr1.chunk011.gz
1,transcriptlist_sorted.chr1.chunk012.gz
1,transcriptlist_sorted.chr1.chunk013.gz
1,transcriptlist_sorted.chr1.chunk014.gz
1,transcriptlist_sorted.chr1.chunk015.gz
1,transcriptlist_sorted.chr1.chunk016.gz
1,transcriptlist_sorted.chr1.chunk017.gz
2,transcriptlist_sorted.chr2.chunk000.gz
2,transcriptlist_sorted.chr2.chunk001.gz
2,transcriptlist_sorted.chr2.chunk002.gz
2,transcriptlist_sorted.chr2.chunk003.gz
2,transcriptlist_sorted.chr2.chunk004.gz
2,transcriptlist_sorted.chr2.chunk005.gz
2,transcriptlist_sorted.chr2.chunk006.gz
2,transcriptlist_sorted.chr2.chunk007.gz
2,transcriptlist_sorted.chr2.chunk008.gz
2,transcriptlist_sorted.chr2.chunk009.gz
2,transcriptlist_sorted.chr2.chunk010.gz
2,transcriptlist_sorted.chr2.chunk011.gz
2,transcriptlist_sorted.chr2.chunk012.gz
2,transcriptlist_sorted.chr2.chunk013.gz
3,transcriptlist_sorted.chr3.chunk000.gz
3,transcriptlist_sorted.chr3.chunk001.gz
3,transcriptlist_sorted.chr3.chunk002.gz
3,transcriptlist_sorted.chr3.chunk003.gz
3,transcriptlist_sorted.chr3.chunk004.gz
3,transcriptlist_sorted.chr3.chunk005.gz
3,transcriptlist_sorted.chr3.chunk006.gz
3,transcriptlist_sorted.chr3.chunk007.gz
3,transcriptlist_sorted.chr3.chunk008.gz
3,transcriptlist_sorted.chr3.chunk009.gz
3,transcriptlist_sorted.chr3.chunk010.gz
3,transcriptlist_sorted.chr3.chunk011.gz
4,transcriptlist_sorted.chr4.chunk000.gz
4,transcriptlist_sorted.chr4.chunk001.gz
4,transcriptlist_sorted.chr4.chunk002.gz
4,transcriptlist_sorted.chr4.chunk003.gz
4,transcriptlist_sorted.chr4.chunk004.gz
4,transcriptlist_sorted.chr4.chunk005.gz
4,transcriptlist_sorted.chr4.chunk006.gz
4,transcriptlist_sorted.chr4.chunk007.gz
5,transcriptlist_sorted.chr5.chunk000.gz
5,transcriptlist_sorted.chr5.chunk001.gz
5,transcriptlist_sorted.chr5.chunk002.gz
5,transcriptlist_sorted.chr5.chunk003.gz
5,transcriptlist_sorted.chr5.chunk004.gz
5,transcriptlist_sorted.chr5.chunk005.gz
5,transcriptlist_sorted.chr5.chunk006.gz
5,transcriptlist_sorted.chr5.chunk007.gz
5,transcriptlist_sorted.chr5.chunk008.gz
5,transcriptlist_sorted.chr5.chunk009.gz
6,transcriptlist_sorted.chr6.chunk000.gz
6,transcriptlist_sorted.chr6.chunk001.gz
6,transcriptlist_sorted.chr6.chunk002.gz
6,transcriptlist_sorted.chr6.chunk003.gz
6,transcriptlist_sorted.chr6.chunk004.gz
