name,protocol_name,PreviousSteps_name
TrimAdapters,TrimAdapters,
Fastqc,Fastqc,TrimAdapters
BwaMem,BwaMem,TrimAdapters
SamToBam,SamToBam,BwaMem
SamSort,SamSort,SamToBam
PicardQC,PicardQC,SamSort
RealignTargetCreator,RealignTargetCreator,SamSort
Realign,Realign,RealignTargetCreator
Fixmates,Fixmates,Realign
CovariatesBefore,CovariatesBefore,Fixmates
Recalibrate,Recalibrate,"Fixmates,CovariatesBefore"
SamSortRecal,SamSortRecal,Recalibrate
CovariatesAfter,CovariatesAfter,SamSortRecal
AnalyzeCovariates,AnalyzeCovariates,"CovariatesBefore,CovariatesAfter"
MergeBam,MergeBam,SamSortRecal
PicardQCrecal,PicardQCrecal,MergeBam
Coverage,Coverage,MergeBam
CreateCoverageBedFile,CreateCoverageBedFile,MergeBam
CoverageGATK,CoverageGATK,MergeBam
IndelGenotyper,IndelGenotyper,MergeBam
Pindel,Pindel,MergeBam
MergeIndelCalls,MergeIndelCalls,"IndelGenotyper,Pindel"
StructuralVariantAnnotator,StructuralVariantAnnotator,MergeIndelCalls
SvVcfToTable,SvVcfToTable,StructuralVariantAnnotator
UnifiedGenotyper,UnifiedGenotyper,MergeBam
GenomicAnnotator,GenomicAnnotator,UnifiedGenotyper
VariantAnnotator,VariantAnnotator,GenomicAnnotator
VcfToTable,VcfToTable,VariantAnnotator
ConcordanceCheck,ConcordanceCheck,"MergeBam,UnifiedGenotyper"
QCReport,QCReport,"PicardQCrecal,SamSort,ConcordanceCheck,Coverage,VcfToTable"
CopyToResultsDir,CopyToResultsDir,"Fastqc,MergeBam,PicardQCrecal,VariantAnnotator,VcfToTable,SvVcfToTable,ConcordanceCheck,QCReport"
