CHR,featureChunkFile
8,meta-exonlist_sorted.chr8.chunk00000
8,meta-exonlist_sorted.chr8.chunk00001
8,meta-exonlist_sorted.chr8.chunk00002
8,meta-exonlist_sorted.chr8.chunk00003
8,meta-exonlist_sorted.chr8.chunk00004
8,meta-exonlist_sorted.chr8.chunk00005
8,meta-exonlist_sorted.chr8.chunk00006
8,meta-exonlist_sorted.chr8.chunk00007
8,meta-exonlist_sorted.chr8.chunk00008
8,meta-exonlist_sorted.chr8.chunk00009
8,meta-exonlist_sorted.chr8.chunk00010
8,meta-exonlist_sorted.chr8.chunk00011
8,meta-exonlist_sorted.chr8.chunk00012
8,meta-exonlist_sorted.chr8.chunk00013
8,meta-exonlist_sorted.chr8.chunk00014
8,meta-exonlist_sorted.chr8.chunk00015
8,meta-exonlist_sorted.chr8.chunk00016
8,meta-exonlist_sorted.chr8.chunk00017
8,meta-exonlist_sorted.chr8.chunk00018
8,meta-exonlist_sorted.chr8.chunk00019
8,meta-exonlist_sorted.chr8.chunk00020
8,meta-exonlist_sorted.chr8.chunk00021
8,meta-exonlist_sorted.chr8.chunk00022
8,meta-exonlist_sorted.chr8.chunk00023
8,meta-exonlist_sorted.chr8.chunk00024
8,meta-exonlist_sorted.chr8.chunk00025
8,meta-exonlist_sorted.chr8.chunk00026
8,meta-exonlist_sorted.chr8.chunk00027
8,meta-exonlist_sorted.chr8.chunk00028
8,meta-exonlist_sorted.chr8.chunk00029
8,meta-exonlist_sorted.chr8.chunk00030
8,meta-exonlist_sorted.chr8.chunk00031
8,meta-exonlist_sorted.chr8.chunk00032
8,meta-exonlist_sorted.chr8.chunk00033
8,meta-exonlist_sorted.chr8.chunk00034
8,meta-exonlist_sorted.chr8.chunk00035
8,meta-exonlist_sorted.chr8.chunk00036
8,meta-exonlist_sorted.chr8.chunk00037
8,meta-exonlist_sorted.chr8.chunk00038
8,meta-exonlist_sorted.chr8.chunk00039
8,meta-exonlist_sorted.chr8.chunk00040
8,meta-exonlist_sorted.chr8.chunk00041
8,meta-exonlist_sorted.chr8.chunk00042
8,meta-exonlist_sorted.chr8.chunk00043
8,meta-exonlist_sorted.chr8.chunk00044
8,meta-exonlist_sorted.chr8.chunk00045
8,meta-exonlist_sorted.chr8.chunk00046
8,meta-exonlist_sorted.chr8.chunk00047
8,meta-exonlist_sorted.chr8.chunk00048
8,meta-exonlist_sorted.chr8.chunk00049
8,meta-exonlist_sorted.chr8.chunk00050
8,meta-exonlist_sorted.chr8.chunk00051
8,meta-exonlist_sorted.chr8.chunk00052
8,meta-exonlist_sorted.chr8.chunk00053
8,meta-exonlist_sorted.chr8.chunk00054
8,meta-exonlist_sorted.chr8.chunk00055
8,meta-exonlist_sorted.chr8.chunk00056
8,meta-exonlist_sorted.chr8.chunk00057
8,meta-exonlist_sorted.chr8.chunk00058
8,meta-exonlist_sorted.chr8.chunk00059
8,meta-exonlist_sorted.chr8.chunk00060
8,meta-exonlist_sorted.chr8.chunk00061
8,meta-exonlist_sorted.chr8.chunk00062
8,meta-exonlist_sorted.chr8.chunk00063
8,meta-exonlist_sorted.chr8.chunk00064
8,meta-exonlist_sorted.chr8.chunk00065
8,meta-exonlist_sorted.chr8.chunk00066
8,meta-exonlist_sorted.chr8.chunk00067
8,meta-exonlist_sorted.chr8.chunk00068
8,meta-exonlist_sorted.chr8.chunk00069
8,meta-exonlist_sorted.chr8.chunk00070
8,meta-exonlist_sorted.chr8.chunk00071
8,meta-exonlist_sorted.chr8.chunk00072
8,meta-exonlist_sorted.chr8.chunk00073
8,meta-exonlist_sorted.chr8.chunk00074
8,meta-exonlist_sorted.chr8.chunk00075
8,meta-exonlist_sorted.chr8.chunk00076
8,meta-exonlist_sorted.chr8.chunk00077
8,meta-exonlist_sorted.chr8.chunk00078
8,meta-exonlist_sorted.chr8.chunk00079
8,meta-exonlist_sorted.chr8.chunk00080
8,meta-exonlist_sorted.chr8.chunk00081
8,meta-exonlist_sorted.chr8.chunk00082
8,meta-exonlist_sorted.chr8.chunk00083
8,meta-exonlist_sorted.chr8.chunk00084
8,meta-exonlist_sorted.chr8.chunk00085
8,meta-exonlist_sorted.chr8.chunk00086
8,meta-exonlist_sorted.chr8.chunk00087
