CHR,featureChunkFile
5,meta-exonlist_sorted.chr5.chunk00000
5,meta-exonlist_sorted.chr5.chunk00001
5,meta-exonlist_sorted.chr5.chunk00002
5,meta-exonlist_sorted.chr5.chunk00003
5,meta-exonlist_sorted.chr5.chunk00004
5,meta-exonlist_sorted.chr5.chunk00005
5,meta-exonlist_sorted.chr5.chunk00006
5,meta-exonlist_sorted.chr5.chunk00007
5,meta-exonlist_sorted.chr5.chunk00008
5,meta-exonlist_sorted.chr5.chunk00009
5,meta-exonlist_sorted.chr5.chunk00010
5,meta-exonlist_sorted.chr5.chunk00011
5,meta-exonlist_sorted.chr5.chunk00012
5,meta-exonlist_sorted.chr5.chunk00013
5,meta-exonlist_sorted.chr5.chunk00014
5,meta-exonlist_sorted.chr5.chunk00015
5,meta-exonlist_sorted.chr5.chunk00016
5,meta-exonlist_sorted.chr5.chunk00017
5,meta-exonlist_sorted.chr5.chunk00018
5,meta-exonlist_sorted.chr5.chunk00019
5,meta-exonlist_sorted.chr5.chunk00020
5,meta-exonlist_sorted.chr5.chunk00021
5,meta-exonlist_sorted.chr5.chunk00022
5,meta-exonlist_sorted.chr5.chunk00023
5,meta-exonlist_sorted.chr5.chunk00024
5,meta-exonlist_sorted.chr5.chunk00025
5,meta-exonlist_sorted.chr5.chunk00026
5,meta-exonlist_sorted.chr5.chunk00027
5,meta-exonlist_sorted.chr5.chunk00028
5,meta-exonlist_sorted.chr5.chunk00029
5,meta-exonlist_sorted.chr5.chunk00030
5,meta-exonlist_sorted.chr5.chunk00031
5,meta-exonlist_sorted.chr5.chunk00032
5,meta-exonlist_sorted.chr5.chunk00033
5,meta-exonlist_sorted.chr5.chunk00034
5,meta-exonlist_sorted.chr5.chunk00035
5,meta-exonlist_sorted.chr5.chunk00036
5,meta-exonlist_sorted.chr5.chunk00037
5,meta-exonlist_sorted.chr5.chunk00038
5,meta-exonlist_sorted.chr5.chunk00039
5,meta-exonlist_sorted.chr5.chunk00040
5,meta-exonlist_sorted.chr5.chunk00041
5,meta-exonlist_sorted.chr5.chunk00042
5,meta-exonlist_sorted.chr5.chunk00043
5,meta-exonlist_sorted.chr5.chunk00044
5,meta-exonlist_sorted.chr5.chunk00045
5,meta-exonlist_sorted.chr5.chunk00046
5,meta-exonlist_sorted.chr5.chunk00047
5,meta-exonlist_sorted.chr5.chunk00048
5,meta-exonlist_sorted.chr5.chunk00049
5,meta-exonlist_sorted.chr5.chunk00050
5,meta-exonlist_sorted.chr5.chunk00051
5,meta-exonlist_sorted.chr5.chunk00052
5,meta-exonlist_sorted.chr5.chunk00053
5,meta-exonlist_sorted.chr5.chunk00054
5,meta-exonlist_sorted.chr5.chunk00055
5,meta-exonlist_sorted.chr5.chunk00056
5,meta-exonlist_sorted.chr5.chunk00057
5,meta-exonlist_sorted.chr5.chunk00058
5,meta-exonlist_sorted.chr5.chunk00059
5,meta-exonlist_sorted.chr5.chunk00060
5,meta-exonlist_sorted.chr5.chunk00061
5,meta-exonlist_sorted.chr5.chunk00062
5,meta-exonlist_sorted.chr5.chunk00063
5,meta-exonlist_sorted.chr5.chunk00064
5,meta-exonlist_sorted.chr5.chunk00065
5,meta-exonlist_sorted.chr5.chunk00066
5,meta-exonlist_sorted.chr5.chunk00067
5,meta-exonlist_sorted.chr5.chunk00068
5,meta-exonlist_sorted.chr5.chunk00069
5,meta-exonlist_sorted.chr5.chunk00070
5,meta-exonlist_sorted.chr5.chunk00071
5,meta-exonlist_sorted.chr5.chunk00072
5,meta-exonlist_sorted.chr5.chunk00073
5,meta-exonlist_sorted.chr5.chunk00074
5,meta-exonlist_sorted.chr5.chunk00075
5,meta-exonlist_sorted.chr5.chunk00076
5,meta-exonlist_sorted.chr5.chunk00077
5,meta-exonlist_sorted.chr5.chunk00078
5,meta-exonlist_sorted.chr5.chunk00079
5,meta-exonlist_sorted.chr5.chunk00080
5,meta-exonlist_sorted.chr5.chunk00081
5,meta-exonlist_sorted.chr5.chunk00082
5,meta-exonlist_sorted.chr5.chunk00083
5,meta-exonlist_sorted.chr5.chunk00084
5,meta-exonlist_sorted.chr5.chunk00085
5,meta-exonlist_sorted.chr5.chunk00086
5,meta-exonlist_sorted.chr5.chunk00087
5,meta-exonlist_sorted.chr5.chunk00088
5,meta-exonlist_sorted.chr5.chunk00089
5,meta-exonlist_sorted.chr5.chunk00090
5,meta-exonlist_sorted.chr5.chunk00091
5,meta-exonlist_sorted.chr5.chunk00092
5,meta-exonlist_sorted.chr5.chunk00093
5,meta-exonlist_sorted.chr5.chunk00094
5,meta-exonlist_sorted.chr5.chunk00095
5,meta-exonlist_sorted.chr5.chunk00096
5,meta-exonlist_sorted.chr5.chunk00097
5,meta-exonlist_sorted.chr5.chunk00098
5,meta-exonlist_sorted.chr5.chunk00099
5,meta-exonlist_sorted.chr5.chunk00100
5,meta-exonlist_sorted.chr5.chunk00101
5,meta-exonlist_sorted.chr5.chunk00102
5,meta-exonlist_sorted.chr5.chunk00103
5,meta-exonlist_sorted.chr5.chunk00104
5,meta-exonlist_sorted.chr5.chunk00105
5,meta-exonlist_sorted.chr5.chunk00106
5,meta-exonlist_sorted.chr5.chunk00107
5,meta-exonlist_sorted.chr5.chunk00108
5,meta-exonlist_sorted.chr5.chunk00109
5,meta-exonlist_sorted.chr5.chunk00110
5,meta-exonlist_sorted.chr5.chunk00111
5,meta-exonlist_sorted.chr5.chunk00112
5,meta-exonlist_sorted.chr5.chunk00113
5,meta-exonlist_sorted.chr5.chunk00114
5,meta-exonlist_sorted.chr5.chunk00115
5,meta-exonlist_sorted.chr5.chunk00116
5,meta-exonlist_sorted.chr5.chunk00117
5,meta-exonlist_sorted.chr5.chunk00118
5,meta-exonlist_sorted.chr5.chunk00119
5,meta-exonlist_sorted.chr5.chunk00120
5,meta-exonlist_sorted.chr5.chunk00121
5,meta-exonlist_sorted.chr5.chunk00122
5,meta-exonlist_sorted.chr5.chunk00123
5,meta-exonlist_sorted.chr5.chunk00124
5,meta-exonlist_sorted.chr5.chunk00125
5,meta-exonlist_sorted.chr5.chunk00126
5,meta-exonlist_sorted.chr5.chunk00127
5,meta-exonlist_sorted.chr5.chunk00128
5,meta-exonlist_sorted.chr5.chunk00129
5,meta-exonlist_sorted.chr5.chunk00130
5,meta-exonlist_sorted.chr5.chunk00131
5,meta-exonlist_sorted.chr5.chunk00132
5,meta-exonlist_sorted.chr5.chunk00133
5,meta-exonlist_sorted.chr5.chunk00134
5,meta-exonlist_sorted.chr5.chunk00135
5,meta-exonlist_sorted.chr5.chunk00136
