CHR,chromosomeChunk
2,2:1-15000000
2,2:5000001-25000000
2,2:15000001-35000000
2,2:25000001-45000000
2,2:35000001-55000000
2,2:45000001-65000000
2,2:55000001-75000000
2,2:65000001-85000000
2,2:75000001-95000000
2,2:85000001-105000000
2,2:95000001-115000000
2,2:105000001-125000000
2,2:115000001-135000000
2,2:125000001-145000000
2,2:135000001-155000000
2,2:145000001-165000000
2,2:155000001-175000000
2,2:165000001-185000000
2,2:175000001-195000000
2,2:185000001-205000000
2,2:195000001-215000000
2,2:205000001-225000000
2,2:220000001-243199373
