step,protocol,dependencies
s00_Kallisto,protocols/Kallisto.sh,
s01_HisatAlignment,protocols/HisatAlignment.sh,
s02_FastQC,protocols/Fastqc.sh,
s03_SamToFilteredBam,protocols/SamToFilteredBam.sh,s01_HisatAlignment
s04_SortBam,protocols/SortBam.sh,s03_SamToFilteredBam
s05_CreateCramFiles,protocols/CreateCramFiles.sh,s03_SamToFilteredBam
s06_GatkUnifiedGenotyper,protocols/GatkUnifiedGenotyper.sh,s04_SortBam
s07_CollectRnaSeqMetrics,protocols/CollectRnaSeqMetrics.sh,s04_SortBam
s08_CollectMultipleMetrics,protocols/CollectMultipleMetrics.sh,s04_SortBam
s09_AddOrReplaceReadGroups,protocols/AddOrReplaceReadGroups.sh,s04_SortBam
s10_VerifyBamID,protocols/VerifyBamID.sh,s06_GatkUnifiedGenotyper
s11_VariantEval,protocols/VariantEval.sh,s06_GatkUnifiedGenotyper
s12_GenotypeHarmonizer,protocols/GenotypeHarmonizer.sh,s06_GatkUnifiedGenotyper
s13_CombineBedFiles,protocols/CombineBedFiles.sh,s12_GenotypeHarmonizer
s14_MergeBamFiles,protocols/MergeBamFiles.sh,s09_AddOrReplaceReadGroups
s15_MarkDuplicates,protocols/MarkDuplicates.sh,s14_MergeBamFiles
s16_HtseqCount,protocols/HTSeq_count.sh,s14_MergeBamFiles
s17_CollectRnaSeqMetrics,protocols/CollectRnaSeqMetrics.sh,s15_MarkDuplicates
s18_CollectMultipleMetrics,protocols/CollectMultipleMetrics.sh,s15_MarkDuplicates
s19_Flagstat,protocols/Flagstat.sh,s15_MarkDuplicates
s20_GatkSplitAndTrim,protocols/GatkSplitAndTrim.sh,s15_MarkDuplicates
s21_IndelRealignmentKnown,protocols/GatkIndelRealignmentKnown.sh,s20_GatkSplitAndTrim
s22_BQSR,protocols/GatkBQSR.sh,s21_IndelRealignmentKnown
s23_AnalyseCovariates,protocols/GatkAnalyseCovariates.sh,s22_BQSR
s24_HaplotypeCallerGvcf,protocols/GatkHaplotypeCallerGvcf.sh,s22_BQSR
s25_GenotypeGvcfs,protocols/GatkGenotypeGvcfs.sh,s24_HaplotypeCallerGvcf
s26_ASReads,protocols/ASReads.sh,s25_GenotypeGvcfs
s27_ASE,protocols/ASE.sh,s26_ASReads
