step,protocol,dependencies
MarkDuplicates,protocols/MarkDuplicates.sh,MergeBam; 
CreateBinsForward,protocols/CreateBins.sh,MarkDuplicates;dedupBam=dedupBam;strand=forward;
CreateBinsReverse,protocols/CreateBins.sh,MarkDuplicates;dedupBam=dedupBam;strand=reverse;
ChiCorrection,protocols/ChiCorrection.sh,DetermineBestControlSet;binnedSampleForward=forwardBins;binnedSampleReverse=reverseBins 
DetermineBestPredictors13,protocols/DetermineBestPredictors.sh,ChiCorrectionForward;ChiCorrectionReverse;chromoFocus=chr13;
DetermineBestPredictors18,protocols/DetermineBestPredictors.sh,ChiCorrectionForward;ChiCorrectionReverse;chromoFocus=chr18;
DetermineBestPredictors21,protocols/DetermineBestPredictors.sh,ChiCorrectionForward;ChiCorrectionReverse;chromoFocus=chr21;
DetermineNCV13,protocols/DetermineNCV.sh,DetermineBestPredictors13;chromoFocus=chr13;
DetermineNCV18,protocols/DetermineNCV.sh,DetermineBestPredictors18;chromoFocus=chr18;
DetermineNCV21,protocols/DetermineNCV.sh,DetermineBestPredictors21;chromoFocus=chr21;
CalculatePPV,protocols/CalculatePPV.sh,DetermineNCV13;DetermineNCV18;DetermineNCV21;
CopyToResultsDir,protocols/CopyToResultsDir.sh,CalculatePPV;
