name,protocol_name,PreviousSteps_name
Fastqc,Fastqc,
BwaAlignLeft,BwaAlignLeft,
BwaAlignRight,BwaAlignRight,
BwaSampe,BwaSampe,"BwaAlignLeft,BwaAlignRight"
SamToBam,SamToBam,BwaSampe
SamSort,SamSort,SamToBam
PicardQC,PicardQC,SamSort
Markduplicates,Markduplicates,SamSort
RealignTargetCreator,RealignTargetCreator,Markduplicates
Realign,Realign,RealignTargetCreator
Fixmates,Fixmates,Realign
CovariatesBefore,CovariatesBefore,Fixmates
Recalibrate,Recalibrate,"Fixmates,CovariatesBefore"
SamSortRecal,SamSortRecal,Recalibrate
CovariatesAfter,CovariatesAfter,SamSortRecal
AnalyzeCovariates,AnalyzeCovariates,"CovariatesBefore,CovariatesAfter"
MergeBam,MergeBam,SamSortRecal
PicardQCrecal,PicardQCrecal,MergeBam
Coverage,Coverage,MergeBam
CoverageGATK,CoverageGATK,MergeBam
IndelGenotyper,IndelGenotyper,MergeBam
Pindel,Pindel,MergeBam
MergeIndelCalls,MergeIndelCalls,"IndelGenotyper,Pindel"
StructuralVariantAnnotator,StructuralVariantAnnotator,MergeIndelCalls
SvVcfToTable,SvVcfToTable,StructuralVariantAnnotator
UnifiedGenotyper,UnifiedGenotyper,MergeBam
GenomicAnnotator,GenomicAnnotator,UnifiedGenotyper
VariantAnnotator,VariantAnnotator,GenomicAnnotator
VcfToTable,VcfToTable,VariantAnnotator
ConcordanceCheck,ConcordanceCheck,"MergeBam,UnifiedGenotyper"
QCReport,QCReport,"PicardQCrecal,Markduplicates,ConcordanceCheck,Coverage,VcfToTable"
CopyToResultsDir,CopyToResultsDir,"Fastqc,MergeBam,PicardQCrecal,VariantAnnotator,VcfToTable,SvVcfToTable,ConcordanceCheck,QCReport"
