Name,defaultValue,description,dataType,hasOne_name
clusterQueue,gcc,,,
mem,4,Memory in GB,,
walltime,23:59:00,,,
cores,1,,,
scheduler,GRID,,,
defaultInterpreter,#!/bin/bash,,,
jobname,jobname,,string,
stage,module load,,,
root,/target/gpfs2/gcc/,the root to your tools and data,string,
bashrc,${root}/gcc.bashrc,,,
tooldir,${root}/tools,root dir for tools,string,
scriptdir,${tooldir}/scripts,,,
importscript,${scriptdir}/import.sh,,,
shapeitBin,${tooldir}/${shapeitversion}/shapeit.v2.r644.linux.x86_64,,string,
shapeitGridBin,shapeit.v2.r644.linux.x86_64,,,
shapeitversion,v2.r644.linux.x86_64,,,
shapeitThreads,8,,,
phasingIntermediatesFolder,${outputFolder}/phased/,,,
imputationIntermediatesFolder,${outputFolder}/imputationChunks/,,string,
impute2ChunkOutput,${imputationIntermediatesFolder}/chr${chr}_${fromChrPos}-${toChrPos},,string,
impute2ChunkOutputInfo,${imputationIntermediatesFolder}/chr${chr}_${fromChrPos}-${toChrPos}_info,,string,
outputFolder,,,,
project,,,,outputFolder
m,,,,
outputFolder,,,,
chr,,,,
studyData,,Two study input files,string,
studyDataType,,enum (PED,BED,GEN),,
