step,protocol,dependencies
ReverseComplement,../protocols/ReverseComplement.sh,
Hisat2Alignment,../protocols/Hisat2AlignmentReverseComplement.sh,ReverseComplement
SamToFilteredBam,../protocols/SamToFilteredBam.sh,Hisat2Alignment
FastQC,../protocols/Fastqc.sh,
SortBam,../protocols/SortBam.sh,SamToFilteredBam
GatkUnifiedGenotyper,../protocols/GatkUnifiedGenotyper.sh,SortBam
VerifyBamID,../protocols/VerifyBamID.sh,GatkUnifiedGenotyper
VariantEval,../protocols/VariantEval.sh,GatkUnifiedGenotyper
GenotypeHarmonizer,../protocols/GenotypeHarmonizer.sh,GatkUnifiedGenotyper
CombineBedFiles,../protocols/CombineBedFiles.sh,GenotypeHarmonizer
CollectRnaSeqQcMetrics,../protocols/CollectRnaSeqMetrics.sh,SortBam
CollectMultipleQcMetrics,../protocols/CollectMultipleMetrics.sh,SortBam
CreateCramFiles,../protocols/CreateCramFiles.sh,SamToFilteredBam
