step,protocol,dependencies
STARMapping,../protocols/STARMapping.sh,
CreateCramFiles,../protocols/CreateCramFiles.sh,STARMapping
FastQC,../protocols/Fastqc.sh,
SortBam,../protocols/SortBam.sh,STARMapping
AddReadGroup,../protocols/AddOrReplaceReadGroups.sh,SortBam
GatkUnifiedGenotyper,../protocols/GatkUnifiedGenotyper.sh,AddReadGroup
VerifyBamID,../protocols/VerifyBamID.sh,GatkUnifiedGenotyper
VariantEval,../protocols/VariantEval.sh,GatkUnifiedGenotyper
CollectRnaSeqMetrics,../protocols/CollectRnaSeqMetrics.sh,SortBam
CollectMultipleMetrics,../protocols/CollectMultipleMetrics.sh,SortBam
RemoveFastqFiles,../protocols/RemoveFastqFiles.sh,CreateCramFiles;FastQC
